pos_x,pos_y,target_speed
-361.2850646972656,-135.1787567138672,80.0
-362.8366088867188,-135.048095703125,80.0
-364.3924560546875,-134.9171142578125,80.0
-365.9526977539063,-134.7860565185547,80.0
-367.4490356445313,-134.66061401367188,80.0
-368.94964599609375,-134.53526306152344,80.0
-370.4541931152344,-134.40867614746094,80.0
-371.9629821777344,-134.28199768066406,80.0
-373.4759521484375,-134.15475463867188,80.0
-374.9927062988281,-134.0270538330078,80.0
-376.5112915039063,-133.89988708496094,80.0
-378.0260009765625,-133.77325439453125,80.0
-379.5287780761719,-133.6476593017578,80.0
-381.08544921875,-133.5179901123047,80.0
-382.62786865234375,-133.3894805908203,80.0
-384.1562194824219,-133.26229858398438,80.0
-385.6703186035156,-133.1361846923828,80.0
-387.17095947265625,-133.01119995117188,80.0
-388.7224426269531,-132.8827362060547,80.0
-390.25927734375,-132.7566680908203,80.0
-391.7817077636719,-132.6315460205078,80.0
-393.29248046875,-132.5066680908203,80.0
-394.7927856445313,-132.3828125,80.0
-396.3414611816406,-132.25502014160156,80.0
-397.8751220703125,-132.127685546875,80.0
-399.3943481445313,-132.0025177001953,80.0
-400.8992919921875,-131.8787841796875,80.0
-402.4490966796875,-131.7509002685547,80.0
-403.9841918945313,-131.62423706054688,80.0
-405.5040588378906,-131.49790954589844,80.0
-407.0095520019531,-131.37403869628906,80.0
-408.5574035644531,-131.24578857421875,80.0
-410.090087890625,-131.1193084716797,80.0
-411.6071166992188,-130.993408203125,80.0
-413.1091003417969,-130.86737060546875,80.0
-414.65087890625,-130.73779296875,80.0
-416.1769714355469,-130.60867309570312,80.0
-417.6875,-130.48106384277344,80.0
-419.1852722167969,-130.3553009033203,80.0
-420.6852722167969,-130.22940063476562,80.0
-422.19775390625,-130.10279846191406,80.0
-423.7259521484375,-129.97491455078125,80.0
-425.2705383300781,-129.84596252441406,80.0
-426.77734375,-129.7206268310547,80.0
-428.3022766113281,-129.5930633544922,80.0
-429.8460083007813,-129.4637451171875,80.0
-431.3511047363281,-129.33790588378906,80.0
-432.8746032714844,-129.209716796875,80.0
-434.4142761230469,-129.08006286621094,80.0
-435.9671936035156,-128.94981384277344,80.0
-437.4686584472656,-128.8234405517578,80.0
-438.9709777832031,-128.6966094970703,80.0
-440.4718017578125,-128.5698699951172,80.0
-441.9681396484375,-128.44287109375,80.0
-443.5105285644531,-128.312255859375,80.0
-445.0379638671875,-128.18377685546875,80.0
-446.5503540039063,-128.05616760253906,80.0
-448.0484924316406,-127.930908203125,80.0
